rainfall,slope,road_quality,visibility,traffic,historical_incidents,road_type,elevation,temperature,wind_speed,risk
1.46,4.76,2.88,6.91,0.811,2,state_highway,1268.1,16.4,5.8,LOW
1.53,13.97,3.12,0.94,0.679,4,state_highway,1489.9,22.8,10.4,HIGH
3.55,6.31,1.5,7.21,0.68,1,state_highway,588.0,19.2,15.0,MEDIUM
0.0,4.04,2.6,5.73,0.105,0,state_highway,890.7,20.8,23.2,LOW
17.03,2.49,3.85,0.48,0.468,0,national_highway,470.5,26.7,12.6,MEDIUM
0.0,16.69,1.72,1.89,0.9,2,rural_hill_road,2465.8,9.4,18.7,HIGH
3.08,1.1,3.37,7.3,0.536,1,national_highway,826.9,27.0,18.3,LOW
0.0,17.01,3.69,11.66,0.372,3,state_highway,1369.4,24.2,9.7,MEDIUM
2.69,5.82,4.88,8.54,0.669,1,national_highway,602.8,25.8,11.0,LOW
0.0,21.67,2.84,12.0,0.666,4,rural_hill_road,964.6,25.7,16.9,HIGH
0.0,9.81,2.09,10.43,0.888,1,rural_hill_road,984.8,26.0,17.0,MEDIUM
0.0,6.32,3.98,8.59,0.362,1,national_highway,904.2,27.1,20.5,LOW
0.0,9.21,3.38,0.69,0.42,0,state_highway,1680.9,28.0,18.2,MEDIUM
3.2,7.54,1.5,7.83,0.26,1,state_highway,1671.8,18.7,5.4,MEDIUM
0.0,12.62,3.08,6.29,0.391,1,state_highway,221.0,23.4,14.4,LOW
11.21,6.38,2.02,2.92,0.375,1,rural_hill_road,1773.2,13.6,4.8,HIGH
9.44,4.5,4.7,3.7,0.233,0,state_highway,240.6,21.3,7.6,MEDIUM
0.0,22.43,1.74,1.43,0.659,2,rural_hill_road,2325.8,14.2,6.4,HIGH
0.0,11.99,1.9,10.99,0.372,2,state_highway,628.9,19.9,15.0,MEDIUM
0.0,6.73,3.29,9.99,0.586,2,national_highway,446.9,19.9,13.9,LOW
0.0,4.81,4.56,8.18,0.363,0,state_highway,1264.1,21.2,8.2,LOW
6.27,4.59,3.51,3.01,0.335,1,national_highway,475.7,29.7,13.9,LOW
0.0,9.37,4.08,12.0,0.364,0,national_highway,541.3,24.2,9.8,LOW
0.0,23.33,2.24,2.3,0.315,2,rural_hill_road,1729.6,23.4,24.8,HIGH
0.0,3.92,4.08,9.86,0.475,0,national_highway,1064.3,24.8,22.5,LOW
2.84,6.37,3.29,11.39,0.339,3,rural_hill_road,2077.1,14.1,22.3,MEDIUM
0.0,7.72,3.83,11.41,0.245,0,national_highway,751.0,21.6,21.3,LOW
22.46,5.49,2.33,2.03,0.797,0,state_highway,1287.4,18.5,11.2,HIGH
0.0,10.2,3.69,7.22,0.319,1,state_highway,1172.4,17.5,18.5,LOW
0.0,3.08,4.22,5.47,0.323,3,national_highway,1234.8,20.2,14.5,LOW
0.0,3.49,3.62,8.43,0.301,0,national_highway,596.7,24.5,20.2,LOW
11.97,16.06,4.78,3.7,0.406,3,state_highway,627.2,29.2,20.4,HIGH
0.0,9.05,4.19,9.24,0.382,1,national_highway,542.6,28.0,11.1,LOW
0.0,3.71,3.5,11.65,0.278,0,state_highway,1447.8,26.6,4.0,LOW
15.39,1.03,4.68,2.44,0.738,0,national_highway,954.1,26.4,16.6,LOW
0.0,9.64,2.78,6.46,0.633,0,national_highway,295.6,24.3,25.6,LOW
1.96,5.07,4.64,8.09,0.24,3,national_highway,979.5,19.9,11.1,LOW
0.0,0.87,4.9,8.89,0.614,0,national_highway,249.0,31.8,5.9,LOW
0.0,3.59,3.72,10.49,0.729,0,national_highway,898.0,21.8,1.2,LOW
1.15,25.72,2.37,12.0,0.427,0,rural_hill_road,1159.9,23.4,11.1,MEDIUM
0.0,2.03,5.0,9.78,0.484,0,national_highway,631.6,26.9,9.5,LOW
12.14,8.71,4.31,2.49,0.218,0,national_highway,1314.2,26.2,14.8,MEDIUM
0.0,9.6,2.06,9.55,0.56,0,rural_hill_road,2356.4,14.1,60.7,MEDIUM
0.0,6.12,4.17,8.28,0.045,2,state_highway,249.0,28.7,32.4,LOW
7.32,2.92,3.15,3.6,0.381,1,national_highway,1373.8,23.2,7.8,LOW
0.0,6.42,3.88,10.8,0.241,1,national_highway,701.2,17.6,16.6,LOW
0.0,3.18,3.36,5.93,0.508,0,state_highway,577.7,23.1,27.2,LOW
0.0,15.51,4.28,9.23,0.261,1,state_highway,959.4,29.0,10.8,LOW
0.0,4.14,3.75,0.79,0.824,0,national_highway,1404.8,24.8,14.3,MEDIUM
8.39,11.47,1.74,4.89,0.561,4,rural_hill_road,756.9,21.3,8.2,HIGH
0.0,11.21,4.76,10.87,0.564,6,national_highway,103.8,23.3,33.4,LOW
10.78,9.79,3.54,4.23,0.391,0,national_highway,1021.3,21.4,14.1,MEDIUM
0.0,1.34,3.31,11.78,0.303,0,national_highway,387.3,29.7,7.9,LOW
0.0,9.3,5.0,9.69,0.484,1,national_highway,935.4,29.2,10.9,LOW
2.8,6.92,3.44,11.28,0.383,1,state_highway,655.8,23.9,23.2,LOW
0.0,25.22,1.74,11.29,0.299,2,rural_hill_road,1187.5,21.6,14.1,HIGH
0.0,23.9,1.53,7.11,0.23,1,rural_hill_road,2295.7,18.5,8.7,HIGH
0.0,1.6,4.35,8.59,0.388,1,national_highway,372.1,27.4,3.6,LOW
0.0,8.75,4.44,11.76,0.517,0,national_highway,676.6,20.1,7.7,LOW
2.94,6.63,4.17,10.96,0.667,0,national_highway,997.3,25.0,20.2,LOW
4.49,9.22,1.76,8.66,0.2,1,rural_hill_road,2011.0,21.1,5.0,MEDIUM
0.0,4.04,3.7,9.66,0.308,0,state_highway,1408.4,20.4,4.4,LOW
0.0,15.44,4.0,8.66,0.689,4,rural_hill_road,2446.8,11.7,18.7,MEDIUM
10.86,11.11,5.0,1.86,0.321,2,national_highway,1301.3,20.0,5.7,HIGH
0.0,7.22,1.55,9.7,0.325,1,rural_hill_road,1535.1,18.3,17.0,MEDIUM
0.48,6.85,3.54,7.24,0.02,1,state_highway,394.2,23.5,22.8,LOW
0.0,13.74,1.86,7.35,0.382,2,state_highway,1524.1,9.1,22.2,MEDIUM
0.0,2.23,4.8,6.77,0.406,0,national_highway,763.1,21.1,3.3,LOW
0.29,10.17,5.0,8.32,0.434,3,national_highway,426.7,29.4,20.7,LOW
0.0,13.46,2.66,11.1,0.363,2,state_highway,335.7,27.2,8.0,MEDIUM
1.73,4.89,3.65,9.06,0.177,1,national_highway,959.5,23.7,17.5,LOW
19.74,12.1,3.15,0.79,0.384,5,rural_hill_road,943.4,18.1,2.3,HIGH
0.0,13.66,4.59,9.83,0.404,2,state_highway,1547.2,18.1,16.1,LOW
0.0,13.72,4.8,10.65,0.325,1,state_highway,1545.1,20.2,2.8,LOW
0.0,1.64,3.54,1.44,0.137,1,national_highway,1488.2,22.8,4.1,LOW
0.0,4.73,4.49,1.25,0.621,1,national_highway,1439.6,17.6,10.0,LOW
0.0,7.63,3.65,10.83,0.557,1,national_highway,64.6,23.4,8.7,LOW
0.0,3.6,4.1,11.12,0.449,0,national_highway,1219.2,16.5,9.4,LOW
6.84,9.63,1.09,4.0,0.504,3,rural_hill_road,868.3,28.7,18.8,MEDIUM
0.18,0.8,3.43,7.44,0.292,1,national_highway,541.7,27.2,16.1,LOW
0.0,20.29,1.0,8.18,0.549,0,rural_hill_road,853.1,24.5,17.6,MEDIUM
17.75,10.19,2.26,0.85,0.502,2,rural_hill_road,1197.2,18.3,32.3,HIGH
0.0,0.75,3.48,8.99,0.204,1,national_highway,1355.8,21.0,3.5,LOW
0.0,11.74,2.65,7.87,0.255,1,state_highway,1755.2,12.6,7.1,MEDIUM
0.0,5.77,5.0,5.97,0.451,1,national_highway,177.7,32.2,17.2,LOW
0.0,1.1,3.72,9.7,0.127,1,national_highway,721.3,20.9,6.3,LOW
0.51,5.57,2.38,1.61,0.487,2,rural_hill_road,2166.8,18.6,66.5,HIGH
0.0,7.8,3.7,7.61,0.299,0,national_highway,891.7,29.9,4.9,LOW
0.0,2.12,3.77,7.47,0.227,2,national_highway,1476.3,21.4,17.1,LOW
0.0,5.42,4.36,0.82,0.18,1,national_highway,1330.0,17.9,51.9,MEDIUM
0.0,9.35,1.74,8.32,0.323,0,state_highway,1514.6,18.0,6.0,LOW
0.0,9.11,4.83,11.54,0.189,1,national_highway,708.5,22.7,27.1,LOW
2.46,10.13,3.94,11.25,0.206,3,national_highway,387.1,28.6,6.0,MEDIUM
0.0,12.73,2.53,1.56,0.598,4,state_highway,1651.5,18.2,14.3,MEDIUM
0.0,14.06,4.01,7.45,0.092,2,state_highway,1657.2,16.8,36.9,MEDIUM
0.62,2.63,5.0,9.97,0.72,3,national_highway,1344.9,14.3,13.6,LOW
0.0,15.87,1.13,7.12,0.833,2,rural_hill_road,1786.4,17.8,29.3,HIGH
22.55,12.44,2.63,1.62,0.458,1,state_highway,980.3,29.6,14.0,HIGH
1.74,3.73,4.05,8.09,0.582,0,national_highway,939.5,18.0,10.5,LOW
0.0,17.96,2.18,6.91,0.508,4,rural_hill_road,865.5,23.4,25.0,MEDIUM
0.0,7.4,1.97,1.4,0.35,3,rural_hill_road,2004.5,13.8,10.5,MEDIUM
7.11,11.0,4.11,4.52,0.41,1,national_highway,976.0,25.0,7.5,LOW
0.0,13.67,2.48,10.44,0.28,4,state_highway,749.1,26.9,37.0,MEDIUM
0.0,4.77,5.0,10.06,0.259,1,national_highway,898.4,22.9,9.7,LOW
0.0,8.29,3.67,5.24,0.511,1,national_highway,508.2,25.4,12.8,LOW
0.0,5.65,1.63,7.78,0.336,4,rural_hill_road,774.1,18.7,32.8,MEDIUM
0.0,8.24,1.61,1.84,0.301,1,rural_hill_road,1728.7,19.5,17.9,MEDIUM
1.12,11.29,3.7,12.0,0.609,2,state_highway,755.6,22.1,15.8,LOW
0.0,24.1,2.59,12.0,0.178,1,rural_hill_road,2531.7,16.9,9.8,MEDIUM
3.53,17.36,2.67,6.69,0.02,2,rural_hill_road,2340.7,15.1,15.2,MEDIUM
0.0,10.32,4.8,8.09,0.401,2,national_highway,217.3,32.7,39.1,LOW
0.11,5.19,2.03,10.21,0.417,2,rural_hill_road,2519.2,16.0,20.4,MEDIUM
0.51,8.51,3.28,6.92,0.307,0,state_highway,852.1,25.9,13.3,LOW
2.47,8.45,2.5,6.97,0.71,2,state_highway,316.6,29.7,20.2,MEDIUM
4.47,6.29,4.3,1.92,0.449,1,national_highway,1339.7,22.0,9.1,LOW
0.0,10.97,3.02,0.75,0.304,2,rural_hill_road,1643.7,18.4,13.1,HIGH
2.82,15.48,2.68,9.03,0.526,2,state_highway,632.6,24.6,11.1,MEDIUM
0.0,19.97,2.53,8.64,0.466,3,rural_hill_road,1017.2,25.2,14.8,MEDIUM
0.4,12.77,2.25,7.59,0.514,2,rural_hill_road,1400.5,26.0,9.8,MEDIUM
0.0,8.99,4.75,5.76,0.445,1,national_highway,998.4,19.7,19.5,LOW
4.0,1.93,3.42,3.38,0.183,2,national_highway,87.8,28.4,12.3,LOW
0.0,1.94,3.96,1.09,0.16,1,national_highway,1465.5,15.0,23.7,LOW
0.0,14.53,3.12,11.48,0.663,0,state_highway,1637.7,16.5,11.5,MEDIUM
1.92,7.85,3.34,7.75,0.8,0,state_highway,321.0,27.5,16.8,LOW
16.56,16.68,3.09,1.86,0.101,3,state_highway,752.3,16.1,6.9,HIGH
0.0,8.48,3.47,5.65,0.444,2,rural_hill_road,783.4,18.9,17.4,MEDIUM
0.0,17.7,3.74,7.34,0.585,2,state_highway,1195.7,26.2,13.2,MEDIUM
0.07,2.19,3.58,9.74,0.567,0,state_highway,998.2,19.4,4.8,LOW
0.0,8.12,3.88,7.2,0.047,1,national_highway,752.5,20.4,3.4,LOW
0.81,11.06,4.54,5.45,0.269,2,national_highway,335.9,22.3,9.7,LOW
0.0,24.88,2.27,2.43,0.273,0,rural_hill_road,2398.8,15.0,3.9,HIGH
0.0,11.32,2.54,8.9,0.346,2,national_highway,159.4,30.1,23.4,LOW
1.92,11.69,2.56,6.33,0.698,2,national_highway,138.7,23.2,27.0,LOW
0.0,9.78,4.98,5.06,0.563,0,national_highway,1358.8,21.9,7.1,LOW
0.0,13.43,2.1,7.73,0.429,4,state_highway,674.5,25.3,14.4,MEDIUM
14.56,17.66,2.42,3.86,0.229,1,state_highway,737.0,27.7,13.8,HIGH
5.93,15.07,3.01,4.87,0.557,2,state_highway,1327.8,19.5,13.4,MEDIUM
0.0,8.24,3.49,7.2,0.49,0,national_highway,1314.8,23.2,26.9,LOW
0.0,7.65,2.08,10.73,0.591,0,state_highway,690.8,25.5,11.7,LOW
7.5,8.22,4.01,1.96,0.589,1,national_highway,984.1,21.0,15.4,MEDIUM
0.0,8.76,2.81,6.28,0.119,0,state_highway,1327.3,14.7,12.3,LOW
6.85,11.44,3.77,3.57,0.463,1,national_highway,168.8,28.8,26.6,LOW
0.0,17.12,3.74,9.18,0.348,4,state_highway,447.7,26.4,20.5,MEDIUM
0.0,11.02,4.02,5.29,0.684,2,national_highway,1137.7,20.1,35.4,MEDIUM
0.0,5.43,2.57,6.84,0.25,3,state_highway,597.4,24.2,10.5,LOW
5.53,8.99,3.36,1.46,0.461,1,national_highway,1129.7,20.7,21.0,LOW
4.38,5.42,4.52,9.58,0.529,2,national_highway,1075.9,18.0,8.7,LOW
0.0,8.55,2.29,0.81,0.498,0,state_highway,1423.1,18.0,21.3,MEDIUM
0.0,6.66,3.29,5.86,0.318,2,national_highway,801.6,25.7,24.1,LOW
0.0,2.73,2.82,9.34,0.423,1,national_highway,784.5,29.0,17.1,LOW
1.32,4.64,3.39,11.99,0.39,0,state_highway,388.1,21.8,17.1,LOW
24.12,5.51,2.83,1.66,0.422,0,state_highway,574.7,22.7,2.5,HIGH
0.0,3.85,4.04,6.65,0.252,0,state_highway,1052.0,21.0,17.2,LOW
0.0,9.62,4.07,6.97,0.571,1,national_highway,86.1,32.0,23.9,LOW
0.0,10.33,4.96,8.32,0.21,0,national_highway,324.2,24.7,27.3,LOW
4.26,3.19,4.26,2.99,0.281,2,state_highway,1237.3,20.6,5.6,LOW
0.0,9.57,2.25,12.0,0.552,1,rural_hill_road,715.9,20.6,19.8,MEDIUM
0.0,8.57,3.47,8.8,0.413,0,rural_hill_road,2110.3,17.5,14.8,MEDIUM
0.0,13.46,2.62,7.2,0.276,5,state_highway,958.3,19.4,7.8,MEDIUM
0.0,18.36,3.02,6.15,0.366,2,rural_hill_road,2484.2,8.0,5.9,HIGH
0.0,7.89,2.93,8.37,0.094,0,state_highway,1318.3,18.7,3.5,LOW
0.0,17.11,2.62,10.01,0.175,2,rural_hill_road,1173.1,26.2,12.2,MEDIUM
0.3,14.23,4.37,9.76,0.297,3,state_highway,223.0,33.1,40.2,MEDIUM
0.0,11.19,3.26,9.24,0.492,3,national_highway,1396.6,12.8,25.6,LOW
0.0,13.05,4.11,11.18,0.63,2,state_highway,1000.6,21.1,5.9,MEDIUM
12.18,10.14,4.9,4.85,0.079,2,national_highway,1067.5,17.4,10.6,MEDIUM
15.96,7.48,3.83,2.24,0.627,1,national_highway,181.8,30.3,10.2,MEDIUM
0.0,5.85,4.59,2.6,0.402,0,national_highway,1461.7,14.1,11.3,LOW
0.0,1.66,3.17,7.99,0.461,0,national_highway,446.7,30.3,3.0,LOW
3.15,12.78,3.0,9.16,0.281,1,state_highway,768.5,23.8,11.7,MEDIUM
0.0,5.79,3.03,10.33,0.021,0,national_highway,178.5,22.3,5.1,LOW
5.04,10.16,3.39,4.02,0.682,1,national_highway,834.8,22.5,27.4,LOW
0.0,11.44,4.26,5.99,0.036,1,national_highway,342.8,32.0,11.6,LOW
0.0,15.21,2.73,9.26,0.543,3,state_highway,492.5,30.1,5.5,MEDIUM
0.0,9.58,2.15,9.58,0.562,2,rural_hill_road,1119.0,20.4,27.2,MEDIUM
4.73,10.95,3.7,11.68,0.367,1,national_highway,402.9,22.5,1.0,MEDIUM
0.0,4.41,5.0,8.94,0.476,0,national_highway,354.4,31.8,68.0,LOW
0.0,6.04,2.1,7.36,0.155,2,rural_hill_road,1151.2,23.3,7.1,MEDIUM
0.0,11.19,3.72,8.17,0.444,3,national_highway,874.7,18.7,28.1,LOW
0.0,17.15,4.22,2.7,0.344,1,state_highway,1557.0,19.3,6.1,LOW
0.0,10.1,3.86,9.78,0.728,7,national_highway,554.5,20.6,5.5,MEDIUM
3.86,2.94,3.53,11.99,0.362,1,national_highway,69.9,34.7,5.5,LOW
0.0,9.89,4.67,10.06,0.331,1,state_highway,660.7,20.8,22.8,LOW
0.0,5.09,4.38,0.67,0.346,0,national_highway,1353.7,22.0,5.9,LOW
20.89,10.52,1.9,2.1,0.277,2,state_highway,1253.9,26.8,2.4,HIGH
0.0,9.97,4.04,11.15,0.651,0,national_highway,577.3,26.1,8.9,LOW
0.0,5.78,4.38,9.32,0.879,2,national_highway,613.8,20.8,14.8,LOW
0.0,1.29,3.52,8.09,0.841,2,national_highway,1089.2,23.4,17.8,LOW
8.45,5.25,3.93,3.7,0.198,0,national_highway,571.1,18.6,9.8,MEDIUM
16.3,3.04,4.11,2.36,0.235,2,national_highway,1439.7,26.5,30.2,MEDIUM
3.57,8.9,4.3,8.13,0.355,2,state_highway,1551.5,23.0,46.8,MEDIUM
22.0,21.91,3.3,1.18,0.213,4,rural_hill_road,1975.1,19.1,10.2,HIGH
17.12,9.21,3.9,0.49,0.39,0,national_highway,662.1,25.7,33.8,MEDIUM
0.0,11.33,4.35,8.32,0.543,2,state_highway,245.8,28.2,16.3,MEDIUM
0.0,10.07,3.75,9.81,0.63,2,national_highway,673.6,21.7,6.6,LOW
0.0,14.89,3.39,7.29,0.07,4,state_highway,1115.2,19.2,7.1,MEDIUM
0.0,8.58,3.91,6.21,0.585,0,state_highway,568.0,30.5,18.2,LOW
4.73,3.83,5.0,2.01,0.263,2,national_highway,1307.2,15.9,7.2,LOW
0.0,10.45,3.67,7.59,0.854,2,national_highway,424.4,29.8,34.0,LOW
14.2,13.95,3.53,1.37,0.067,1,state_highway,1200.5,21.6,10.6,HIGH
0.0,8.82,2.28,1.17,0.807,0,state_highway,1210.2,23.2,14.7,MEDIUM
0.0,13.44,3.48,4.78,0.429,1,state_highway,429.3,28.4,14.4,MEDIUM
0.0,0.69,4.96,6.69,0.632,2,national_highway,914.6,27.1,2.2,LOW
0.1,19.95,1.49,6.98,0.032,1,rural_hill_road,700.1,26.1,55.9,HIGH
4.4,11.85,3.93,10.64,0.249,1,national_highway,314.7,32.1,27.9,LOW
0.0,4.05,4.69,9.91,0.328,0,state_highway,1211.8,24.2,16.5,LOW
1.01,5.14,2.49,12.0,0.133,1,state_highway,1559.9,18.0,14.8,LOW
12.45,6.92,3.97,3.42,0.115,1,state_highway,603.7,27.9,29.7,MEDIUM
0.0,2.91,3.91,10.52,0.156,0,state_highway,705.2,20.8,33.3,LOW
8.05,7.43,2.3,4.99,0.306,0,state_highway,299.3,26.6,5.2,MEDIUM
0.0,6.29,2.68,0.79,0.702,1,rural_hill_road,1931.6,16.5,30.5,HIGH
6.45,6.85,4.7,2.51,0.68,0,national_highway,144.3,31.6,7.0,LOW
13.22,11.53,3.7,1.5,0.383,4,state_highway,892.4,25.9,25.3,HIGH
0.0,22.0,1.99,0.74,0.663,1,rural_hill_road,1614.4,19.6,4.7,HIGH
0.0,22.35,1.16,10.63,0.298,2,rural_hill_road,2258.9,19.9,15.0,HIGH
0.0,2.95,4.8,11.3,0.219,0,state_highway,495.7,27.1,20.2,LOW
0.0,8.36,1.5,12.0,0.41,1,state_highway,281.8,25.6,14.7,LOW
0.0,1.02,3.3,7.59,0.362,0,national_highway,989.6,18.8,3.2,LOW
0.0,3.23,2.41,12.0,0.336,0,state_highway,1087.6,21.1,12.4,LOW
0.0,9.67,3.97,9.52,0.529,0,national_highway,317.8,30.6,6.6,LOW
0.0,9.69,4.06,10.94,0.412,0,national_highway,320.5,24.4,26.8,LOW
1.09,13.46,2.51,8.51,0.466,2,rural_hill_road,1742.3,17.4,10.7,MEDIUM
0.0,6.86,4.26,5.71,0.251,2,national_highway,739.3,27.3,12.6,LOW
6.86,4.13,2.87,3.15,0.334,0,state_highway,981.1,17.4,13.0,LOW
0.0,1.55,4.61,12.0,0.517,0,national_highway,739.2,25.2,13.5,LOW
2.35,2.58,4.22,7.24,0.592,0,national_highway,883.9,19.8,42.2,LOW
20.25,14.99,4.15,0.34,0.485,3,state_highway,840.5,21.3,12.1,HIGH
0.0,23.85,1.82,7.06,0.648,1,rural_hill_road,1139.1,18.0,26.0,HIGH
11.42,3.99,4.17,4.11,0.458,1,national_highway,1405.7,21.6,17.0,MEDIUM
3.9,9.88,1.74,6.83,0.568,1,rural_hill_road,2115.9,16.8,11.0,MEDIUM
0.0,9.78,3.07,7.59,0.233,1,state_highway,299.9,25.7,15.0,LOW
0.0,3.92,3.31,10.48,0.174,0,state_highway,1016.9,24.8,26.6,LOW
0.0,13.87,2.39,2.67,0.547,1,state_highway,1328.1,18.7,13.7,MEDIUM
0.0,6.38,3.58,12.0,0.343,2,national_highway,1097.4,26.2,21.9,LOW
0.0,11.56,3.97,10.63,0.248,2,national_highway,128.0,28.8,23.9,LOW
0.0,9.05,3.31,10.6,0.051,0,state_highway,1032.9,22.0,12.1,LOW
0.0,5.77,4.74,10.22,0.117,0,national_highway,663.3,23.2,22.6,LOW
0.0,3.03,4.39,9.86,0.568,1,national_highway,662.9,22.0,14.5,LOW
4.4,4.42,3.83,2.16,0.716,0,national_highway,1215.5,21.7,12.8,LOW
2.01,5.14,4.88,7.45,0.555,0,national_highway,70.1,33.9,7.2,LOW
0.0,16.48,1.64,0.68,0.268,1,state_highway,1601.4,23.0,11.7,MEDIUM
0.0,10.96,4.39,7.56,0.625,3,national_highway,161.6,29.6,9.7,LOW
0.0,10.71,2.13,9.48,0.128,0,state_highway,829.3,18.5,13.3,LOW
1.48,8.62,2.99,8.25,0.685,0,state_highway,803.8,21.9,15.5,LOW
2.82,4.35,4.39,5.7,0.553,1,national_highway,159.4,27.1,27.3,LOW
4.75,4.67,3.81,9.57,0.338,0,national_highway,1062.4,24.4,21.4,LOW
0.0,0.57,3.94,1.66,0.249,1,national_highway,1371.6,17.3,11.2,LOW
0.0,12.12,1.37,10.4,0.112,3,rural_hill_road,2143.7,11.0,11.0,HIGH
0.0,7.04,4.52,9.67,0.511,0,national_highway,1369.7,20.8,11.2,LOW
0.0,14.46,2.0,7.02,0.159,4,rural_hill_road,1980.1,20.1,18.9,MEDIUM
2.18,10.83,5.0,8.95,0.71,2,national_highway,744.1,23.1,10.2,MEDIUM
0.0,7.1,4.56,11.0,0.172,1,national_highway,1464.6,12.5,24.1,LOW
0.0,22.8,2.2,0.83,0.5,6,rural_hill_road,2175.9,14.4,43.4,HIGH
2.7,2.85,2.81,9.23,0.829,2,state_highway,614.2,29.4,28.1,MEDIUM
0.0,7.43,3.47,12.0,0.42,0,national_highway,957.7,18.9,4.1,LOW
0.0,6.92,4.43,8.11,0.465,0,national_highway,458.5,26.1,13.3,LOW
0.0,1.48,4.32,8.54,0.169,1,national_highway,758.4,26.2,12.1,LOW
0.0,3.91,3.24,7.34,0.869,0,state_highway,1122.9,24.1,3.4,LOW
0.0,9.32,3.61,9.06,0.215,1,national_highway,203.3,31.7,22.2,LOW
0.0,16.6,4.04,12.0,0.21,2,state_highway,977.0,22.0,9.7,LOW
0.0,7.65,2.54,1.91,0.323,2,rural_hill_road,1793.8,21.9,11.0,MEDIUM
0.0,14.1,4.14,5.42,0.381,2,state_highway,494.5,26.7,12.2,LOW
0.0,9.13,3.36,8.63,0.33,2,state_highway,255.1,24.9,13.7,LOW
10.87,8.56,4.23,4.73,0.195,3,national_highway,538.3,23.8,21.6,MEDIUM
22.13,4.89,4.39,0.78,0.694,0,state_highway,1591.3,15.7,30.0,HIGH
0.44,5.1,4.04,10.42,0.534,2,national_highway,570.9,22.2,34.3,LOW
0.0,11.76,4.14,3.07,0.234,2,national_highway,590.3,30.5,33.5,LOW
4.05,10.8,4.2,8.0,0.441,1,state_highway,310.0,30.9,8.1,LOW
0.0,3.93,4.01,11.52,0.155,2,national_highway,245.9,23.7,6.2,LOW
0.0,4.95,2.89,7.54,0.699,1,state_highway,650.9,25.2,4.5,LOW
0.0,16.3,4.18,5.37,0.615,2,state_highway,1619.9,22.8,18.6,MEDIUM
0.0,9.03,3.42,5.09,0.202,0,state_highway,447.2,24.4,10.9,LOW
0.0,24.92,2.43,9.62,0.759,3,rural_hill_road,2240.3,8.9,3.2,HIGH
0.0,13.12,3.72,9.05,0.399,3,state_highway,1070.1,23.2,28.0,LOW
2.27,10.0,2.42,0.42,0.534,1,rural_hill_road,2239.0,12.8,19.0,HIGH
0.0,3.31,3.56,7.0,0.661,0,national_highway,1308.6,22.0,12.5,LOW
